target_id	length	eff_length	est_counts	tpm
gene-OL67_RS00005	1428	1178.74	2029	86.1707
gene-OL67_RS00010	1122	872.741	3720	213.38
gene-OL67_RS00015	1098	848.741	629	37.0998
gene-OL67_RS00020	621	371.783	42	5.65531
gene-OL67_RS00025	600	350.783	55	7.84912
gene-OL67_RS00030	594	344.783	76	11.0348
gene-OL67_RS00035	2418	2168.74	4396	101.472
gene-OL67_RS00040	828	578.741	1153	99.7334
gene-OL67_RS00045	1080	830.741	1162	70.0223
gene-OL67_RS00050	1026	776.741	732	47.177
rna-OL67_RS00055	1464	1214.74	700	28.8476
rna-OL67_RS00060	76	27.5	8.25	15.0182
rna-OL67_RS00065	77	26.6667	73.25	137.51
rna-OL67_RS00070	2828	2578.74	1771.25	34.3849
rna-OL67_RS00075	115	21.9878	54	122.944
rna-OL67_RS00080	77	26.6667	30.75	57.7261
gene-OL67_RS00085	1347	1097.74	254	11.5832
gene-OL67_RS00090	810	560.741	110	9.82033
gene-OL67_RS00095	945	695.741	175	12.5918
gene-OL67_RS00100	540	290.813	15	2.5821
gene-OL67_RS00105	1518	1268.74	73	2.88035
gene-OL67_RS00110	1485	1235.74	101	4.09157
gene-OL67_RS00115	1260	1010.74	55	2.72407
gene-OL67_RS00120	390	142.087	26	9.16044
gene-OL67_RS00125	1512	1262.74	122	4.83661
gene-OL67_RS00130	984	734.741	132	8.99364
gene-OL67_RS00135	855	605.741	72	5.95033
gene-OL67_RS00140	801	551.741	115	10.4342
gene-OL67_RS00145	990	740.741	747	50.4836
gene-OL67_RS00150	225	31.5483	170	269.754
gene-OL67_RS00155	915	665.741	1649	123.997
gene-OL67_RS00160	606	356.783	158	22.1692
gene-OL67_RS00165	2265	2015.74	1740	43.2126
gene-OL67_RS00170	1290	1040.74	1057	50.8427
gene-OL67_RS00175	1458	1208.74	425	17.6016
gene-OL67_RS00180	474	224.952	48	10.6819
gene-OL67_RS00185	1608	1358.74	247	9.10031
gene-OL67_RS00190	816	566.741	140	12.3663
gene-OL67_RS00195	948	698.741	255	18.2692
gene-OL67_RS00200	1185	935.741	94	5.02884
gene-OL67_RS00205	1479	1229.74	669	27.2338
gene-OL67_RS00210	864	614.741	363	29.5604
gene-OL67_RS00215	858	608.741	353	29.0294
gene-OL67_RS00220	1485	1235.74	844	34.1909
gene-OL67_RS00225	1257	1007.74	284	14.108
gene-OL67_RS00230	549	299.799	447	74.6404
gene-OL67_RS00235	465	215.973	3029	702.094
gene-OL67_RS00240	1038	788.741	402	25.5145
gene-OL67_RS00245	762	512.741	201	19.6243
gene-OL67_RS00250	420	171.417	358	104.55
gene-OL67_RS00255	633	383.783	836	109.048
gene-OL67_RS00260	930	680.741	574	42.211
gene-OL67_RS00265	924	674.741	662	49.1153
gene-OL67_RS00270	1365	1115.74	801	35.9389
gene-OL67_RS00275	588	338.783	309	45.6597
gene-OL67_RS00280	288	57.4781	1081	941.499
gene-OL67_RS00285	2079	1829.74	1620	44.3222
gene-OL67_RS00290	765	515.741	29	2.81489
gene-OL67_RS00295	2295	2045.74	1546	37.8316
gene-OL67_RS00300	5310	5060.74	1600	15.8271
gene-OL67_RS00305	2028	1778.74	249	7.00781
gene-OL67_RS00310	2061	1811.74	1059	29.2614
gene-OL67_RS00315	2919	2669.74	1330	24.939
gene-OL67_RS00320	924	674.741	714	52.9733
gene-OL67_RS00325	1008	758.741	1651	108.93
gene-OL67_RS00330	618	368.783	486	65.9724
gene-OL67_RS00335	753	503.741	587	58.3346
gene-OL67_RS00340	270	47.1726	205	217.551
gene-OL67_RS00345	2814	2564.74	2941	57.4047
gene-OL67_RS00350	2055	1805.74	1184	32.8241
gene-OL67_RS00355	183	23.8602	107	224.494
gene-OL67_RS00360	933	683.741	116	8.49302
gene-OL67_RS00365	378	130.586	179	68.6202
gene-OL67_RS00370	762	512.741	415	40.5178
gene-OL67_RS00375	645	395.783	1176	148.746
gene-OL67_RS00380	3129	2879.74	1029	17.8878
gene-OL67_RS00385	921	671.741	266	19.8233
gene-OL67_RS00390	945	695.741	4485	322.709
gene-OL67_RS00395	1269	1019.74	717	35.1986
gene-OL67_RS00400	1071	821.741	321	19.5554
gene-OL67_RS00405	1242	992.741	1818	91.6756
gene-OL67_RS00410	921	671.741	484	36.0694
gene-OL67_RS00415	621	371.783	280	37.7021
gene-OL67_RS00420	966	716.741	380	26.541
gene-OL67_RS00425	456	206.995	194	46.9179
gene-OL67_RS00430	1494	1244.74	1417	56.9884
gene-OL67_RS00435	834	584.741	684	58.5583
gene-OL67_RS00440	939	689.741	216	15.677
gene-OL67_RS00445	624	374.783	184	24.5773
gene-OL67_RS00450	549	299.799	79	13.1915
gene-OL67_RS00455	702	452.741	227	25.0999
gene-OL67_RS00460	345	100.618	289	143.787
gene-OL67_RS00465	846	596.741	219	18.3719
gene-OL67_RS00470	1395	1145.74	1108	48.4116
gene-OL67_RS00475	396	147.949	787	266.293
gene-OL67_RS00480	651	401.783	1230	153.253
gene-OL67_RS00485	1155	905.741	630	34.8203
gene-OL67_RS00490	1179	929.741	57	3.06908
gene-OL67_RS00495	1023	773.741	4373	282.93
gene-OL67_RS00500	336	92.8896	49	26.4074
gene-OL67_RS00505	1593	1343.74	2345	87.3621
gene-OL67_RS00510	1071	821.741	80	4.87361
gene-OL67_RS00515	1032	782.741	158	10.105
gene-OL67_RS00520	750	500.741	180	17.9951
gene-OL67_RS00525	777	527.741	155	14.703
gene-OL67_RS00530	1185	935.741	1293	69.1733
gene-OL67_RS00535	771	521.741	467	44.8082
gene-OL67_RS00540	1410	1160.74	214	9.22942
gene-OL67_RS00545	435	186.22	242	65.0557
gene-OL67_RS00550	1275	1025.74	282	13.7628
gene-OL67_RS00555	1578	1328.74	372	14.0152
gene-OL67_RS00560	837	587.741	195	16.609
gene-OL67_RS00565	1677	1427.74	212	7.43331
gene-OL67_RS00570	840	590.741	179	15.1688
gene-OL67_RS00575	1125	875.741	4142	236.772
gene-OL67_RS00580	1113	863.741	203	11.7654
gene-OL67_RS00585	921	671.741	178	13.2652
gene-OL67_RS00590	1326	1076.74	370	17.2023
gene-OL67_RS00595	3450	3200.74	1028	16.0782
gene-OL67_RS00600	2394	2144.74	609	14.2147
gene-OL67_RS00605	621	371.783	49	6.59786
