target_id	length	eff_length	est_counts	tpm
gene-OL67_RS00005	1428	1152.25	1611	59.7509
gene-OL67_RS00010	1122	846.253	3606	182.105
gene-OL67_RS00015	1098	822.253	449	23.3366
gene-OL67_RS00020	621	345.294	36	4.45565
gene-OL67_RS00025	600	324.316	39	5.13917
gene-OL67_RS00030	594	318.316	45	6.04159
gene-OL67_RS00035	2418	2142.25	3687	73.5528
gene-OL67_RS00040	828	552.253	1094	84.6596
gene-OL67_RS00045	1080	804.253	717	38.0999
gene-OL67_RS00050	1026	750.253	609	34.6902
rna-OL67_RS00055	1464	1188.25	735.25	26.4437
rna-OL67_RS00060	76	20.8333	30.5	62.5659
rna-OL67_RS00065	77	21.8333	53.75	105.21
rna-OL67_RS00070	2828	2552.25	2586.5	43.3097
rna-OL67_RS00075	115	20.475	92	192.026
rna-OL67_RS00080	77	21.8333	150.25	294.097
gene-OL67_RS00085	1347	1071.25	281	11.2101
gene-OL67_RS00090	810	534.253	100	7.99926
gene-OL67_RS00095	945	669.253	153	9.77008
gene-OL67_RS00100	540	264.421	40	6.46488
gene-OL67_RS00105	1518	1242.25	88	3.0274
gene-OL67_RS00110	1485	1209.25	60	2.12046
gene-OL67_RS00115	1260	984.253	63	2.73546
gene-OL67_RS00120	390	118.123	19	6.87412
gene-OL67_RS00125	1512	1236.25	146	5.0471
gene-OL67_RS00130	984	708.253	191	11.525
gene-OL67_RS00135	855	579.253	74	5.45959
gene-OL67_RS00140	801	525.253	170	13.8318
gene-OL67_RS00145	990	714.253	785	46.9693
gene-OL67_RS00150	225	26.4502	209	337.686
gene-OL67_RS00155	915	639.253	1425	95.2662
gene-OL67_RS00160	606	330.305	155	20.0546
gene-OL67_RS00165	2265	1989.25	1675	35.985
gene-OL67_RS00170	1290	1014.25	1089	45.8858
gene-OL67_RS00175	1458	1182.25	366	13.2302
gene-OL67_RS00180	474	198.8	46	9.88867
gene-OL67_RS00185	1608	1332.25	266	8.5328
gene-OL67_RS00190	816	540.253	135	10.6791
gene-OL67_RS00195	948	672.253	276	17.5458
gene-OL67_RS00200	1185	909.253	89	4.18314
gene-OL67_RS00205	1479	1203.25	855	30.3673
gene-OL67_RS00210	864	588.253	354	25.7179
gene-OL67_RS00215	858	582.253	310	22.7534
gene-OL67_RS00220	1485	1209.25	562	19.8617
gene-OL67_RS00225	1257	981.253	391	17.0291
gene-OL67_RS00230	549	273.386	394	61.591
gene-OL67_RS00235	465	189.924	4211	947.551
gene-OL67_RS00240	1038	762.253	377	21.1368
gene-OL67_RS00245	762	486.253	319	28.0366
gene-OL67_RS00250	420	146.168	419	122.506
gene-OL67_RS00255	633	357.294	469	56.0976
gene-OL67_RS00260	930	654.253	420	27.4347
gene-OL67_RS00265	924	648.253	797	52.5425
gene-OL67_RS00270	1365	1089.25	796	31.2307
gene-OL67_RS00275	588	312.326	247	33.7975
gene-OL67_RS00280	288	45.0417	2316	2197.46
gene-OL67_RS00285	2079	1803.25	1018	24.1261
gene-OL67_RS00290	765	489.253	34	2.9699
gene-OL67_RS00295	2295	2019.25	1831	38.752
gene-OL67_RS00300	5310	5034.25	1147	9.737
gene-OL67_RS00305	2028	1752.25	137	3.34134
gene-OL67_RS00310	2061	1785.25	1009	24.154
gene-OL67_RS00315	2919	2643.25	1277	20.6466
gene-OL67_RS00320	924	648.253	578	38.1048
gene-OL67_RS00325	1008	732.253	1232	71.9029
gene-OL67_RS00330	618	342.294	302	37.7055
gene-OL67_RS00335	753	477.253	720	64.4734
gene-OL67_RS00340	270	37.6497	187	212.264
gene-OL67_RS00345	2814	2538.25	3384	56.976
gene-OL67_RS00350	2055	1779.25	1259	30.2402
gene-OL67_RS00355	183	23.9069	167	298.531
gene-OL67_RS00360	933	657.253	90	5.85203
gene-OL67_RS00365	378	107.358	215	85.5859
gene-OL67_RS00370	762	486.253	539	47.3722
gene-OL67_RS00375	645	369.294	1144	132.389
gene-OL67_RS00380	3129	2853.25	888	13.3005
gene-OL67_RS00385	921	645.253	165	10.9283
gene-OL67_RS00390	945	669.253	3642	232.566
gene-OL67_RS00395	1269	993.253	577	24.8263
gene-OL67_RS00400	1071	795.253	388	20.8508
gene-OL67_RS00405	1242	966.253	1568	69.3509
gene-OL67_RS00410	921	645.253	448	29.6719
gene-OL67_RS00415	621	345.294	329	40.7196
gene-OL67_RS00420	966	690.253	440	27.2421
gene-OL67_RS00425	456	181.054	174	41.0713
gene-OL67_RS00430	1494	1218.25	1274	44.6919
gene-OL67_RS00435	834	558.253	589	45.0901
gene-OL67_RS00440	939	663.253	185	11.9204
gene-OL67_RS00445	624	348.294	171	20.982
gene-OL67_RS00450	549	273.386	152	23.761
gene-OL67_RS00455	702	426.268	218	21.856
gene-OL67_RS00460	345	80.4658	328	174.204
gene-OL67_RS00465	846	570.253	306	22.9325
gene-OL67_RS00470	1395	1119.25	1309	49.9814
gene-OL67_RS00475	396	123.614	739	255.49
gene-OL67_RS00480	651	375.294	1170	133.233
gene-OL67_RS00485	1155	879.253	590	28.6771
gene-OL67_RS00490	1179	903.253	46	2.17643
gene-OL67_RS00495	1023	747.253	3132	179.123
gene-OL67_RS00500	336	73.8676	57	32.9775
gene-OL67_RS00505	1593	1317.25	2255	73.1601
gene-OL67_RS00510	1071	795.253	87	4.67531
gene-OL67_RS00515	1032	756.253	145	8.19403
gene-OL67_RS00520	750	474.253	169	15.2291
gene-OL67_RS00525	777	501.253	132	11.2542
gene-OL67_RS00530	1185	909.253	1514	71.1603
gene-OL67_RS00535	771	495.253	574	49.5315
gene-OL67_RS00540	1410	1134.25	190	7.1588
gene-OL67_RS00545	435	160.639	274	72.8946
gene-OL67_RS00550	1275	999.253	325	13.8997
gene-OL67_RS00555	1578	1302.25	585	19.1981
gene-OL67_RS00560	837	561.253	231	17.5894
gene-OL67_RS00565	1677	1401.25	187	5.70324
gene-OL67_RS00570	840	564.253	107	8.10414
gene-OL67_RS00575	1125	849.253	5009	252.064
gene-OL67_RS00580	1113	837.253	200	10.2087
gene-OL67_RS00585	921	645.253	218	14.4385
gene-OL67_RS00590	1326	1050.25	460	18.7181
gene-OL67_RS00595	3450	3174.25	1455	19.5893
gene-OL67_RS00600	2394	2118.25	757	15.2727
gene-OL67_RS00605	621	345.294	61	7.54984
rna-OL67_RS00610	75	19.8333	36	77.5718
gene-OL67_RS00615	180	23.474	19	34.591
gene-OL67_RS00620	1272	996.253	307	13.1694
gene-OL67_RS00625	477	201.76	320	67.7815
gene-OL67_RS00630	543	267.395	105	16.7816
gene-OL67_RS00635	1302	1026.25	1454	60.549
gene-OL67_RS00640	480	204.699	772	161.175
gene-OL67_RS00645	459	183.999	184	42.7366
gene-OL67_RS00650	396	123.614	144	49.7843
gene-OL67_RS00655	591	315.316	25	3.38837
gene-OL67_RS00660	879	603.253	367	25.9994
gene-OL67_RS00665	219	25.479	880	1476.04
gene-OL67_RS00670	582	306.357	441	61.5187
gene-OL67_RS00675	1023	747.253	438	25.0497
gene-OL67_RS00680	183	23.9069	94	168.035
rna-OL67_RS00685	75	19.8333	31	66.7979
gene-OL67_RS00690	1113	837.253	524	26.7468
gene-OL67_RS00695	216	24.9747	18	30.8013
gene-OL67_RS00700	396	123.614	430	148.662
gene-OL67_RS00705	243	29.4856	207	300.025
gene-OL67_RS00710	3099	2823.25	3504	53.0409
gene-OL67_RS00715	657	381.294	694	77.7851
gene-OL67_RS00720	429	154.855	904	249.482
gene-OL67_RS00725	366	97.1762	1266	556.763
gene-OL67_RS00730	420	146.168	229	66.9546
gene-OL67_RS00735	390	118.123	8	2.89437
gene-OL67_RS00740	306	54.3658	17	13.3635
gene-OL67_RS00745	255	32.4859	12	15.7864
gene-OL67_RS00750	210	24.4354	2	3.4979
gene-OL67_RS00755	1434	1158.25	46	1.69727
gene-OL67_RS00760	555	279.367	355	54.3062
gene-OL67_RS00765	300	51.0403	64	53.5875
gene-OL67_RS00770	897	621.253	26	1.78855
gene-OL67_RS00775	237	28.021	4	6.10062
gene-OL67_RS00780	747	471.253	8	0.725492
gene-OL67_RS00785	477	201.76	10	2.11817
gene-OL67_RS00790	1212	936.253	16	0.730337
gene-OL67_RS00795	726	450.253	20	1.89832
gene-OL67_RS00800	288	45.0417	8	7.59052
gene-OL67_RS00805	1335	1059.25	165	6.65704
gene-OL67_RS00810	2058	1782.25	867	20.7896
gene-OL67_RS00815	1386	1110.25	751	28.9078
