target_id	length	eff_length	est_counts	tpm
gene-OL67_RS00005	1428	1150.39	1918	65.9553
gene-OL67_RS00010	1122	844.392	4132	193.581
gene-OL67_RS00015	1098	820.392	440	21.2167
gene-OL67_RS00020	621	343.485	31	3.57027
gene-OL67_RS00025	600	322.517	79	9.68994
gene-OL67_RS00030	594	316.517	46	5.7492
gene-OL67_RS00035	2418	2140.39	4160	76.8859
gene-OL67_RS00040	828	550.392	963	69.2152
gene-OL67_RS00045	1080	802.392	722	35.5957
gene-OL67_RS00050	1026	748.392	586	30.9753
rna-OL67_RS00055	1464	1186.39	801.5	26.7253
rna-OL67_RS00060	76	22.1538	25.25	45.0878
rna-OL67_RS00065	77	21.5714	43	78.8563
rna-OL67_RS00070	2828	2550.39	3169	49.1544
rna-OL67_RS00075	115	27.0877	119	173.789
rna-OL67_RS00080	77	21.5714	175.5	321.844
gene-OL67_RS00085	1347	1069.39	362	13.3912
gene-OL67_RS00090	810	532.392	134	9.95681
gene-OL67_RS00095	945	667.392	182	10.7879
gene-OL67_RS00100	540	262.626	23	3.46447
gene-OL67_RS00105	1518	1240.39	92	2.93411
gene-OL67_RS00110	1485	1207.39	58	1.90032
gene-OL67_RS00115	1260	982.392	53	2.13421
gene-OL67_RS00120	390	116.825	20	6.77239
gene-OL67_RS00125	1512	1234.39	146	4.67893
gene-OL67_RS00130	984	706.392	214	11.9844
gene-OL67_RS00135	855	577.392	111	7.605
gene-OL67_RS00140	801	523.392	178	13.4536
gene-OL67_RS00145	990	712.392	794	44.0909
gene-OL67_RS00150	225	27.4375	230	331.612
gene-OL67_RS00155	915	637.392	1321	81.9867
gene-OL67_RS00160	606	328.495	137	16.4983
gene-OL67_RS00165	2265	1987.39	2333	46.4385
gene-OL67_RS00170	1290	1012.39	1220	47.6714
gene-OL67_RS00175	1458	1180.39	300	10.0541
gene-OL67_RS00180	474	197.095	76	15.254
gene-OL67_RS00185	1608	1330.39	255	7.58241
gene-OL67_RS00190	816	538.392	165	12.1236
gene-OL67_RS00195	948	670.392	297	17.5257
gene-OL67_RS00200	1185	907.392	80	3.48772
gene-OL67_RS00205	1479	1201.39	1059	34.8705
gene-OL67_RS00210	864	586.392	415	27.9967
gene-OL67_RS00215	858	580.392	374	25.4916
gene-OL67_RS00220	1485	1207.39	649	21.2639
gene-OL67_RS00225	1257	979.392	323	13.0465
gene-OL67_RS00230	549	271.626	396	57.6728
gene-OL67_RS00235	465	188.25	3444	723.727
gene-OL67_RS00240	1038	760.392	380	19.7694
gene-OL67_RS00245	762	484.409	399	32.5842
gene-OL67_RS00250	420	144.628	520	142.232
gene-OL67_RS00255	633	355.485	397	44.1791
gene-OL67_RS00260	930	652.392	454	27.5292
gene-OL67_RS00265	924	646.392	872	53.3664
gene-OL67_RS00270	1365	1087.39	742	26.9938
gene-OL67_RS00275	588	310.528	328	41.785
gene-OL67_RS00280	288	45.5819	2132	1850.3
gene-OL67_RS00285	2079	1801.39	1060	23.2779
gene-OL67_RS00290	765	487.409	39	3.16532
gene-OL67_RS00295	2295	2017.39	2713	53.1994
gene-OL67_RS00300	5310	5032.39	1385	10.8873
gene-OL67_RS00305	2028	1750.39	138	3.11882
gene-OL67_RS00310	2061	1783.39	1243	27.5722
gene-OL67_RS00315	2919	2641.39	1541	23.079
gene-OL67_RS00320	924	646.392	661	40.4532
gene-OL67_RS00325	1008	730.392	1427	77.2885
gene-OL67_RS00330	618	340.485	292	33.926
gene-OL67_RS00335	753	475.409	1065	88.6195
gene-OL67_RS00340	270	38.1909	219	226.846
gene-OL67_RS00345	2814	2536.39	3940	61.4507
gene-OL67_RS00350	2055	1777.39	1951	43.4231
gene-OL67_RS00355	183	24.116	136	223.091
gene-OL67_RS00360	933	655.392	72	4.34589
gene-OL67_RS00365	378	106.174	221	82.3423
gene-OL67_RS00370	762	484.409	562	45.8956
gene-OL67_RS00375	645	367.461	1281	137.907
gene-OL67_RS00380	3129	2851.39	798	11.0712
gene-OL67_RS00385	921	643.392	135	8.30052
gene-OL67_RS00390	945	667.392	3865	229.095
gene-OL67_RS00395	1269	991.392	635	25.3382
gene-OL67_RS00400	1071	793.392	410	20.4429
gene-OL67_RS00405	1242	964.392	2169	88.9719
gene-OL67_RS00410	921	643.392	497	30.5582
gene-OL67_RS00415	621	343.485	359	41.3461
gene-OL67_RS00420	966	688.392	417	23.9633
gene-OL67_RS00425	456	179.509	225	49.5842
gene-OL67_RS00430	1494	1216.39	1656	53.856
gene-OL67_RS00435	834	556.392	779	55.3865
gene-OL67_RS00440	939	661.392	223	13.3381
gene-OL67_RS00445	624	346.485	207	23.6338
gene-OL67_RS00450	549	271.626	202	29.4189
gene-OL67_RS00455	702	424.424	224	20.8783
gene-OL67_RS00460	345	79.5055	425	211.465
gene-OL67_RS00465	846	568.392	360	25.0554
gene-OL67_RS00470	1395	1117.39	1483	52.5028
gene-OL67_RS00475	396	122.259	1093	353.661
gene-OL67_RS00480	651	373.424	1296	137.293
gene-OL67_RS00485	1155	877.392	657	29.6223
gene-OL67_RS00490	1179	901.392	48	2.10656
gene-OL67_RS00495	1023	745.392	3425	181.77
gene-OL67_RS00500	336	73.1077	106	57.3574
gene-OL67_RS00505	1593	1315.39	3068	92.2672
gene-OL67_RS00510	1071	793.392	127	6.33232
gene-OL67_RS00515	1032	754.392	222	11.6413
gene-OL67_RS00520	750	472.409	295	24.7031
gene-OL67_RS00525	777	499.409	209	16.5553
gene-OL67_RS00530	1185	907.392	2846	124.076
gene-OL67_RS00535	771	493.409	665	53.3165
gene-OL67_RS00540	1410	1132.39	211	7.37111
gene-OL67_RS00545	435	159.028	348	86.567
gene-OL67_RS00550	1275	997.392	389	15.4287
gene-OL67_RS00555	1578	1300.39	739	22.4811
gene-OL67_RS00560	837	559.392	306	21.6398
gene-OL67_RS00565	1677	1399.39	210	5.93645
gene-OL67_RS00570	840	562.392	157	11.0435
gene-OL67_RS00575	1125	847.392	6375	297.607
gene-OL67_RS00580	1113	835.392	246	11.6491
gene-OL67_RS00585	921	643.392	244	15.0024
gene-OL67_RS00590	1326	1048.39	451	17.0177
gene-OL67_RS00595	3450	3172.39	1913	23.8548
gene-OL67_RS00600	2394	2116.39	1070	20.0002
gene-OL67_RS00605	621	343.485	71	8.17708
rna-OL67_RS00610	75	25	29	45.8886
gene-OL67_RS00615	180	24.0084	19	31.3067
gene-OL67_RS00620	1272	994.392	349	13.884
gene-OL67_RS00625	477	200.069	342	67.6228
gene-OL67_RS00630	543	265.626	110	16.3821
gene-OL67_RS00635	1302	1024.39	1547	59.7408
gene-OL67_RS00640	480	203.015	877	170.89
gene-OL67_RS00645	459	182.46	152	32.955
gene-OL67_RS00650	396	122.259	196	63.4195
gene-OL67_RS00655	591	313.528	32	4.03758
gene-OL67_RS00660	879	601.392	411	27.0353
gene-OL67_RS00665	219	26.5096	987	1472.86
gene-OL67_RS00670	582	304.558	477	61.9577
gene-OL67_RS00675	1023	745.392	471	24.9967
gene-OL67_RS00680	183	24.116	113	185.362
rna-OL67_RS00685	75	25	28	44.3062
gene-OL67_RS00690	1113	835.392	629	29.7857
gene-OL67_RS00695	216	26.3308	22	33.0526
gene-OL67_RS00700	396	122.259	531	171.815
gene-OL67_RS00705	243	30.031	247	325.367
gene-OL67_RS00710	3099	2821.39	3812	53.4486
gene-OL67_RS00715	657	379.424	853	88.9347
gene-OL67_RS00720	429	153.243	1069	275.958
gene-OL67_RS00725	366	96.0858	1486	611.796
gene-OL67_RS00730	420	144.628	252	68.928
gene-OL67_RS00735	390	116.825	4	1.35448
gene-OL67_RS00740	306	54.7557	17	12.2819
gene-OL67_RS00745	255	33.3742	4	4.74129
gene-OL67_RS00750	210	25.6935	1	1.53966
gene-OL67_RS00755	1434	1156.39	63	2.15517
gene-OL67_RS00760	555	277.617	375	53.4358
gene-OL67_RS00765	300	51.4444	65	49.983
gene-OL67_RS00770	897	619.392	21	1.34122
gene-OL67_RS00775	237	29.0727	1	1.3607
gene-OL67_RS00780	747	469.409	13	1.09557
gene-OL67_RS00785	477	200.069	15	2.96591
gene-OL67_RS00790	1212	934.392	17	0.719725
gene-OL67_RS00795	726	448.409	25	2.20553
gene-OL67_RS00800	288	45.5819	4	3.47148
gene-OL67_RS00805	1335	1057.39	175	6.5471
gene-OL67_RS00810	2058	1780.39	1895	42.1057
gene-OL67_RS00815	1386	1108.39	1354	48.325
gene-OL67_RS00820	1578	1300.39	1240	37.722
gene-OL67_RS00825	1026	748.392	1117	59.0434
gene-OL67_RS00830	639	361.473	1531	167.551
gene-OL67_RS00835	420	144.628	12379	3385.95
gene-OL67_RS00840	789	511.409	691	53.4511
gene-OL67_RS00845	951	673.392	636	37.3625
gene-OL67_RS00850	798	520.392	411	31.2434
gene-OL67_RS00855	789	511.409	1083	83.7736
gene-OL67_RS00860	1197	919.392	670	28.8284
gene-OL67_RS00865	1128	850.392	1376.42	64.0294
gene-OL67_RS00870	507	229.81	511	87.9627
gene-OL67_RS00875	846	568.392	635	44.195
gene-OL67_RS00880	162	24.9736	313	495.804
